Country,Category,Player,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Matches
Algeria,all_competitions,Houssem Aouar,MF,27-349,5.1,2,,,,,,,,0,0,Matches
Algeria,all_competitions,Alexis Guendouz,GK,30-139,5.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Jaouen Hadjam,DF,23-080,4.7,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Anthony Mandrea,GK,29-171,4.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Rafik Belghali,DF,24-007,3.9,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Zineddine Belaïd,DF,27-086,3.6,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Ibrahim Maza,MF,20-202,3.4,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Saïd Benrahma,"FW,MF",30-308,3.1,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Luca Zidane,GK,28-032,3.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Baghdad Bounedjah,FW,34-196,2.8,3,,,,,,,,0,0,Matches
Algeria,all_competitions,Achref Abada,DF,26-364,2.1,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Yassine Benzia,MF,31-279,1.9,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Anis Hadj Moussa,"FW,MF",24-123,1.8,2,,,,,,,,0,0,Matches
Algeria,all_competitions,Adem Zorgane,MF,26-159,1.8,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Melvin Mastil,GK,26-115,1.5,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Nadhir Benbouali,FW,26-058,1.3,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Ahmed Kendouci,MF,26-357,1.2,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Adil Boulbina,FW,23-043,1.1,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Youcef Belaïli,"FW,MF",34-092,1.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Mohamed Amine Madani,DF,33-086,1.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Yasser Larouci,DF,25-164,1.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Yassine Titraoui,MF,22-323,1.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Ismaël Bennacer,MF,28-195,0.9,0,,,,,,,,0,0,Matches
