Country,Category,Player,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Matches,Playing Time_MP
Haiti,world_cup,Frantzdy Pierrot,FW,31-077,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,0.0,0.0,1.0,-1.0,-1.0,,Matches,
Haiti,world_cup,Johny Placide,GK,38-136,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,0.0,0.0,1.0,-1.0,-1.0,,Matches,
Haiti,world_cup,Ruben Providence,MF,24-342,1.0,84.0,84.0,93.3,0.9,1,84.0,0,0,,0,0.0,0.0,1.0,-1.0,-1.07,-1.07,Matches,
Haiti,world_cup,Wilson Isidor,FW,25-291,1.0,75.0,75.0,83.3,0.8,1,75.0,0,0,,0,0.0,0.0,1.0,-1.0,-1.2,-1.2,Matches,
Haiti,world_cup,Louicius Deedson,MF,25-123,1.0,60.0,60.0,66.7,0.7,1,60.0,0,0,,0,0.0,0.0,1.0,-1.0,-1.5,-1.5,Matches,
Haiti,world_cup,Josué Casimir,"FW,MF",24-263,1.0,30.0,30.0,33.3,0.3,0,,0,1,30.0,0,0.0,0.0,0.0,0.0,0.0,1.5,Matches,
Haiti,world_cup,Lenny Joseph,"FW,MF",25-245,1.0,15.0,15.0,16.7,0.2,0,,0,1,15.0,0,0.0,0.0,0.0,0.0,0.0,1.2,Matches,
Haiti,world_cup,Yassin Fortuné,"FW,MF",27-135,1.0,6.0,6.0,6.7,0.1,0,,0,1,6.0,0,0.0,0.0,0.0,0.0,0.0,1.07,Matches,
Haiti,world_cup,Josué Duverger,GK,26-048,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Haiti,world_cup,Jean-Kevin Duverne,DF,28-337,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Haiti,world_cup,Derrick Etienne,"FW,MF",29-201,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Haiti,world_cup,Carl Fred Sainté,MF,23-309,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Haiti,world_cup,Duke Lacroix,"DF,FW",32-243,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Haiti,world_cup,Garven Metusala,DF,26-165,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Haiti,world_cup,Duckens Nazon,"FW,MF",32-068,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
