Country,Category,Player,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Matches
Netherlands,all_competitions,Mark Flekken,GK,33-001,4.0,3.0,294,3.3,2.0,0.61,4.0,4.0,100.0,2.0,1.0,0.0,2,66.7,1,1,0,0,0.0,Matches
Netherlands,all_competitions,Robin Roefs,GK,23-148,1.0,0.0,45,0.5,1.0,2.0,,,,0.0,0.0,0.0,0,,0,0,0,0,,Matches
New Zealand,all_competitions,Max Crocombe,GK,32-306,2.0,1.0,116,1.3,4.0,3.1,,,,0.0,0.0,1.0,0,0.0,0,0,0,0,,Matches
New Zealand,all_competitions,Alex Paulsen,GK,23-345,2.0,1.0,46,0.5,1.0,1.96,,,,0.0,0.0,1.0,0,0.0,0,0,0,0,,Matches
New Zealand,all_competitions,Squad Total,,28.1,2.0,2.0,162,1.8,5.0,2.78,,,,0.0,0.0,2.0,0,0.0,0,0,0,0,,
New Zealand,all_competitions,Opponent Total,,27.6,2.0,2.0,162,1.8,0.0,0.0,,,,2.0,0.0,0.0,2,100.0,0,0,0,0,,
New Zealand,all_competitions,Max Crocombe,GK,32.0,4.0,4.0,360,4.0,0.0,0.0,,,,4.0,0.0,0.0,4,100.0,0,0,0,0,,Matches
New Zealand,all_competitions,Alex Paulsen,GK,23.0,1.0,1.0,90,1.0,,,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,,Matches
New Zealand,all_competitions,Squad Total,,27.9,5.0,5.0,450,5.0,0.0,0.0,,,,5.0,0.0,0.0,4,80.0,0,0,0,0,,
New Zealand,all_competitions,Opponent Total,,28.4,5.0,5.0,450,5.0,10.0,2.0,,,,0.0,0.0,5.0,0,0.0,2,1,0,1,0.0,
New Zealand,all_competitions,Max Crocombe,GK,32-306,6.0,5.0,476,5.3,4.0,0.76,,,,4.0,0.0,1.0,4,80.0,0,0,0,0,,Matches
New Zealand,all_competitions,Alex Paulsen,GK,23-345,3.0,2.0,136,1.5,1.0,1.96,,,,1.0,0.0,1.0,1,50.0,0,0,0,0,,Matches
Norway,all_competitions,Ørjan Nyland,GK,35-277,4.0,4.0,296,3.3,4.0,1.22,,,,1.0,2.0,1.0,1,25.0,0,0,0,0,,Matches
Norway,all_competitions,Egil Selvik,GK,28-319,2.0,0.0,64,0.7,0.0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,,Matches
Norway,all_competitions,Squad Total,,27.5,4.0,4.0,360,4.0,4.0,1.0,,,,1.0,2.0,1.0,1,25.0,0,0,0,0,,
Norway,all_competitions,Opponent Total,,27.1,4.0,4.0,360,4.0,5.0,1.25,,,,1.0,2.0,1.0,1,25.0,0,0,0,0,,
Norway,all_competitions,Ørjan Nyland,GK,35.0,8.0,8.0,720,8.0,5.0,0.62,22.0,17.0,77.3,8.0,0.0,0.0,4,50.0,0,0,0,0,,Matches
Norway,all_competitions,Squad Total,,27.3,8.0,8.0,720,8.0,5.0,0.62,22.0,17.0,77.3,8.0,0.0,0.0,4,50.0,0,0,0,0,,
Norway,all_competitions,Opponent Total,,27.3,8.0,8.0,720,8.0,37.0,4.62,61.0,26.0,41.0,0.0,0.0,8.0,0,0.0,2,1,1,0,50.0,
Norway,all_competitions,Ørjan Nyland,GK,35-277,12.0,12.0,"1,016",11.3,9.0,0.8,22.0,17.0,77.3,9.0,2.0,1.0,5,41.7,0,0,0,0,,Matches
Norway,all_competitions,Egil Selvik,GK,28-319,2.0,0.0,64,0.7,0.0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,,Matches
Panama,all_competitions,Orlando Mosquera,GK,31-171,4.0,3.0,319,3.5,9.0,2.54,,,,1.0,1.0,1.0,0,0.0,1,1,0,0,0.0,Matches
Panama,all_competitions,César Samudio,GK,32-111,1.0,1.0,65,0.7,1.0,1.38,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,,Matches
Panama,all_competitions,Luis Mejía,GK,35-090,1.0,1.0,41,0.5,0.0,0.0,,,,0.0,1.0,0.0,0,0.0,0,0,0,0,,Matches
Panama,all_competitions,John David Gunn,GK,26-144,1.0,0.0,25,0.3,1.0,3.6,,,,0.0,0.0,0.0,0,,0,0,0,0,,Matches
Panama,all_competitions,Squad Total,,29.5,5.0,5.0,450,5.0,11.0,2.2,,,,2.0,2.0,1.0,0,0.0,1,1,0,0,0.0,
Panama,all_competitions,Opponent Total,,27.2,5.0,5.0,450,5.0,10.0,2.0,,,,1.0,2.0,2.0,0,0.0,0,0,0,0,,
Panama,all_competitions,Orlando Mosquera,GK,31.0,6.0,6.0,540,6.0,4.0,0.67,,,,3.0,3.0,0.0,3,50.0,0,0,0,0,,Matches
Panama,all_competitions,Luis Mejía,GK,34.0,4.0,4.0,360,4.0,1.0,0.25,,,,4.0,0.0,0.0,3,75.0,0,0,0,0,,Matches
Panama,all_competitions,Squad Total,,29.8,10.0,10.0,900,10.0,5.0,0.5,,,,7.0,3.0,0.0,6,60.0,0,0,0,0,,
Panama,all_competitions,Opponent Total,,28.3,10.0,10.0,900,10.0,19.0,1.9,,,,0.0,3.0,7.0,1,10.0,1,1,0,0,0.0,
Panama,all_competitions,Orlando Mosquera,GK,31-171,10.0,9.0,859,9.5,13.0,1.36,,,,4.0,4.0,1.0,3,33.3,1,1,0,0,0.0,Matches
Panama,all_competitions,Luis Mejía,GK,35-090,5.0,5.0,401,4.5,1.0,0.22,,,,4.0,1.0,0.0,3,60.0,0,0,0,0,,Matches
Panama,all_competitions,César Samudio,GK,32-111,1.0,1.0,65,0.7,1.0,1.38,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,,Matches
Panama,all_competitions,John David Gunn,GK,26-144,1.0,0.0,25,0.3,1.0,3.6,,,,0.0,0.0,0.0,0,,0,0,0,0,,Matches
Paraguay,all_competitions,Orlando Gill,GK,26-003,1.0,1.0,90,1.0,4.0,4.0,7.0,3.0,42.9,0.0,0.0,1.0,0,0.0,0,0,0,0,,Matches
Paraguay,all_competitions,Squad Total,,28.4,1.0,1.0,90,1.0,4.0,4.0,7.0,3.0,42.9,0.0,0.0,1.0,0,0.0,0,0,0,0,,
Paraguay,all_competitions,Opponent Total,,27.2,1.0,1.0,90,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,,
Paraguay,all_competitions,Orlando Gill,GK,26-003,2.0,1.0,135,1.5,2.0,1.33,,,,0.0,0.0,1.0,1,100.0,0,0,0,0,,Matches
Paraguay,all_competitions,Gastón Olveira,GK,33-054,1.0,1.0,90,1.0,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,,Matches
Paraguay,all_competitions,Gatito Fernández,GK,38-077,1.0,1.0,45,0.5,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,,Matches
