player,position,age,mp,starts,minutes,gls,ast,crdY,crdR,team,archivo_origen,number,club,birth_date,min,city_id,latitude,longitude,altitude_meters,id,team_name,league,matches_played,shots,goals,xg_for,fifa_code,iso2_code,city_name,country,venue_name,region_cluster,airport_code,match_number,home_team_id,away_team_id,stage_id,kickoff_at,match_label,birth_place,stadium_id,stadium_name,filename,group_letter,is_placeholder,nationality_name,nation_team_id,stage_name,stage_order,group,rank,w,d,l,gf,ga,gd,pts,last_5,team_code
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,33.0,Getafe,La Liga,38.0,105.0,31.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,34.0,Girona,La Liga,38.0,157.0,38.0,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,35.0,Gladbach,Bundesliga,34.0,141.0,40.0,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,36.0,Hamburger SV,Bundesliga,34.0,155.0,40.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,37.0,Heidenheim,Bundesliga,34.0,123.0,41.0,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,38.0,Hellas Verona,Serie A,38.0,141.0,24.0,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,39.0,Hoffenheim,Bundesliga,34.0,176.0,61.0,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,40.0,Inter,Serie A,38.0,229.0,85.0,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,41.0,Juventus,Serie A,38.0,227.0,59.0,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,42.0,Köln,Bundesliga,34.0,158.0,47.0,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,43.0,Lazio,Serie A,38.0,156.0,39.0,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,44.0,Le Havre,Ligue 1,34.0,124.0,31.0,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
